HD,city,state,LO,city,state,address,city,store,time,url,zipcode,STATE,STATENS,STATE_NAME,STUSAB,NAME,population,under44_1,under44_2,under44_3,older65_1,older_65_2,income_per_capita,industrial_managers,construction_managers,farmers,realestate,construction_workers,state:1,place
1,Baytown,48,1,Baytown,48,Garth Road,Baytown,LOW,1597173609.26094,https://www.lowes.com/,77521,48,1779801,Texas,TX,"Baytown city, Texas",76581,8333,11192,9304,5276,3739,26126,,,,,,48,6128
1,Beaumont,48,1,Beaumont,48,Dawn Drive,Beaumont,LOW,1597173609.7795,https://www.lowes.com/,77706,48,1779801,Texas,TX,"Beaumont city, Texas",118632,13285,17737,13889,9425,7138,27376,,,,,,48,7000
1,Beaumont,6,,,,1480 East 2nd Street,Beaumont,HD,1597100306.16277,https://www.homedepot.com/,92223,6,1779778,California,CA,"Beaumont city, California",45403,3438,6185,6538,4030,2142,27958,,,,,,6,4758
1,Beaver Falls,42,,,,2670 Constitution Blvd,Beaver Falls,HD,1597100726.71128,https://www.homedepot.com/,15010,42,1779798,Pennsylvania,PA,"Beaver Falls city, Pennsylvania",8547,1634,1044,814,697,638,21823,,,,,,42,4792
1,Beaverton,41,,,,4401 Southwest 110th Ave,Beaverton,HD,1597100680.25041,https://www.homedepot.com/,97005,41,1155107,Oregon,OR,"Beaverton city, Oregon",97012,8463,17846,14112,7435,4838,35864,,,,,,41,5350
1,Bee Cave,48,1,Bee Cave,48,3600 Ranch Road 620 S,Bee Cave,HD,1597100815.18339,https://www.homedepot.com/,78738,48,1779801,Texas,TX,"Bee Cave city, Texas",6521,269,673,1315,436,337,52755,,,,,,48,7156
1,Bel Air,24,,,,655 Market Place Dr,Bel Air,HD,1597100430.07023,https://www.homedepot.com/,21014,24,1714934,Maryland,MD,"Bel Air South CDP, Maryland",48269,3225,6358,6814,4034,3019,44305,,,,,,24,5950
1,Belleville,17,1,Belleville,17,5501 Belleville Crossing,Belleville,HD,1597100376.88047,https://www.homedepot.com/,62226,17,1779784,Illinois,IL,"Belleville city, Illinois",41926,3852,6446,4738,3424,2861,26682,,,,,,17,4845
1,Bellevue,53,,,,325 120th Ave Ne,Bellevue,HD,1597100892.57099,https://www.homedepot.com/,98005,53,1779804,Washington,WA,"Bellevue city, Washington",142242,9350,25559,20264,10617,9517,63115,,,,,,53,5210
1,Bellingham,25,,,,229 Hartford Ave,Bellingham,HD,1597100443.65203,https://www.homedepot.com/,2019,25,606926,Massachusetts,MA,"Bellingham CDP, Massachusetts",4652,389,424,504,556,258,44787,,,,,,25,4965
1,Bellingham,53,1,Bellingham,53,East Indiana Street,Bellingham,LOW,1597173769.50632,https://www.lowes.com/,98225-2698,53,1779804,Washington,WA,"Bellingham city, Washington",87071,21591,13294,9715,7121,5180,29030,,,,,,53,5280
1,Bellport,36,,,,20 Farber Drive,Bellport,HD,1597100599.85264,https://www.homedepot.com/,11713,36,1779796,New York,NY,"North Bellport CDP, New York",11593,1409,1691,1402,640,237,26962,,,,,,36,51528
1,Belton,29,,,,1306 E North Avenue,Belton,HD,1597100501.4581,https://www.homedepot.com/,64012,29,1779791,Missouri,MO,"Belton city, Missouri",23348,1835,3379,3000,1796,1470,26899,,,,,,29,4384
1,Bemidji,27,,,,2425 Middle School Dr Nw,Bemidji,HD,1597100483.74903,https://www.homedepot.com/,56601,27,662849,Minnesota,MN,"Bemidji city, Minnesota",15004,3940,1844,1317,1082,1321,21871,,,,,,27,5068
1,Bend,41,1,Bend,41,63465 Highway 97,Bend,HD,1597100678.66637,https://www.homedepot.com/,97703,41,1155107,Oregon,OR,"North Bend city, Oregon",9615,683,1072,993,1138,851,28548,,,,,,41,53000
1,Bennington,50,,,,121 N Bennington Rd,Bennington,HD,1597100849.68558,https://www.homedepot.com/,5201,50,1779802,Vermont,VT,"North Bennington village, Vermont",1709,666,117,95,226,143,24675,,,,,,50,49075
2,Bensalem,42,,,,900 Rock Hill Dr,Bensalem,HD,1597100728.80902,https://www.homedepot.com/,19020,42,1779798,Pennsylvania,PA,,,,,,,,,,,,,,,
1,Benton,5,,,,17060 Interstate 30,Benton,HD,1597100297.64683,https://www.homedepot.com/,72019,5,68085,Arkansas,AR,"Bentonville city, Arkansas",46857,3600,8935,8272,2131,1592,39475,,,,,,5,5320
1,Benton Harbor,26,,,,2075 Pipestone Rd,Benton Harbor,HD,1597100466.73664,https://www.homedepot.com/,49022,26,1779789,Michigan,MI,"Benton Harbor city, Michigan",9920,957,1322,1094,585,476,13061,,,,,,26,7520
